,airline,duration,departureTime,flightRange,count
0,JAZZ AVIATION LP,court,matin,Quebec,295
1,AIR CANADA,moyen,après-midi,Canada,1039
2,OTHERS,long,soire,International,909
3,OTHERS,court,soire,International,6346
4,SUNWING AIRLINES INC.,moyen,soire,International,204
5,CARGOJET AIRWAYS LTD.,court,soire,International,127
6,OTHERS,moyen,soire,International,659
7,AIR CANADA,moyen,soire,Quebec,463
8,AIR CANADA,moyen,soire,International,1815
9,JAZZ AVIATION LP,court,soire,International,1706
10,JAZZ AVIATION LP,court,soire,Canada,1414
11,AIR CANADA,court,soire,Canada,1779
12,DELTA AIR LINES,court,soire,International,478
13,OTHERS,court,soire,Canada,1171
14,AIR GEORGIAN LIMITED,court,soire,International,254
15,AIR CANADA,moyen,soire,Canada,544
16,AIR FRANCE,long,soire,International,169
17,JAZZ AVIATION LP,court,nuit,Quebec,141
18,WELLS FARGO TRUST CO NA TRUSTEE,court,nuit,International,28
19,AIR TRANSAT,long,nuit,International,1201
20,JAZZ AVIATION LP,court,nuit,International,1014
21,DELTA AIR LINES,court,nuit,International,89
22,OTHERS,moyen,nuit,Canada,59
23,OTHERS,moyen,nuit,International,769
24,SUNWING AIRLINES INC.,court,nuit,International,89
25,CARGOJET AIRWAYS LTD.,court,nuit,Canada,591
26,OTHERS,long,nuit,International,1853
27,AIR CANADA,long,nuit,International,1531
28,AIR TRANSAT,moyen,nuit,International,209
29,WESTJET ENCORE LTD.,court,nuit,International,19
30,AIR CANADA,court,nuit,Canada,756
31,OTHERS,court,nuit,International,2510
32,AIR CANADA,court,nuit,International,648
33,CARGOJET AIRWAYS LTD.,court,nuit,International,317
34,AIR FRANCE,long,nuit,International,211
35,WESTJET,court,nuit,Canada,171
36,OTHERS,moyen,nuit,Quebec,28
37,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,nuit,Canada,279
38,AIR CANADA,moyen,nuit,Canada,267
39,OTHERS,long,matin,International,1651
40,AIR CANADA,court,soire,International,1712
41,JAZZ AVIATION LP,court,matin,International,3044
42,AIR GEORGIAN LIMITED,court,matin,International,467
43,AIR TRANSAT,long,matin,International,1075
44,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,matin,International,2080
45,AIR CANADA,court,matin,Canada,2695
46,OTHERS,moyen,matin,International,1692
47,PORTER AIRLINES INC.,court,matin,Canada,1350
48,OTHERS,court,matin,International,13625
49,AIR TRANSAT,court,matin,International,269
50,AIR CANADA,long,matin,International,1763
51,DELTA AIR LINES,court,matin,International,931
52,AIR CANADA,court,matin,International,2445
53,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,matin,Canada,108
54,OTHERS,court,matin,Canada,2231
55,AIR TRANSAT,long,matin,Quebec,187
56,WELLS FARGO TRUST CO NA TRUSTEE,court,matin,International,424
57,WESTJET,court,matin,Canada,169
58,SUNWING AIRLINES INC.,moyen,matin,International,445
59,AIR FRANCE,long,matin,International,345
60,AIR CANADA,moyen,matin,International,2531
61,PORTER AIRLINES INC.,court,matin,International,119
62,AIR TRANSAT,moyen,matin,International,627
63,OTHERS,moyen,matin,Quebec,296
64,AIR GEORGIAN LIMITED,moyen,matin,Quebec,10
65,AIR CANADA,moyen,matin,Canada,536
66,JAZZ AVIATION LP,court,matin,Canada,1984
67,WESTJET ENCORE LTD.,court,matin,Canada,751
68,AIR CANADA,moyen,matin,Quebec,630
69,BANK OF UTAH TRUSTEE,moyen,matin,International,91
70,AMERICAN AIRLINES INC,court,matin,International,962
71,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,après-midi,International,2233
72,JAZZ AVIATION LP,court,après-midi,International,4222
73,AIR TRANSAT,moyen,après-midi,International,673
74,OTHERS,court,après-midi,International,14708
75,AIR CANADA,moyen,après-midi,International,2303
76,AIRSPRINT INC.,court,après-midi,Canada,184
77,SUNWING AIRLINES INC.,moyen,après-midi,International,483
78,AIR CANADA,court,après-midi,International,2808
79,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,après-midi,International,380
80,WESTJET ENCORE LTD.,court,après-midi,Canada,791
81,OTHERS,moyen,après-midi,International,1642
82,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,après-midi,Canada,28
83,OTHERS,long,après-midi,International,985
84,AVIATION STARLINK INC.,court,après-midi,International,220
85,AIR CANADA,court,après-midi,Canada,2694
86,AIR CANADA,long,soire,International,1727
87,AIR FRANCE,long,après-midi,International,308
88,PORTER AIRLINES INC.,court,après-midi,International,130
89,OTHERS,court,après-midi,Canada,2264
90,REPUBLIC AIRWAYS INC,court,après-midi,International,573
91,AMERICAN AIRLINES INC,court,après-midi,International,1021
92,AIR FRANCE,moyen,après-midi,International,51
93,JAZZ AVIATION LP,moyen,après-midi,Quebec,125
94,DELTA AIR LINES,court,après-midi,International,715
95,AIR GEORGIAN LIMITED,court,après-midi,International,548
96,OTHERS,moyen,après-midi,Quebec,255
97,JAZZ AVIATION LP,court,après-midi,Canada,1750
98,PORTER AIRLINES INC.,court,après-midi,Canada,1375
99,FLAIR AIRLINE,moyen,après-midi,Canada,164
100,AIR TRANSAT,court,après-midi,International,491
101,AIR CANADA,moyen,après-midi,Quebec,590
102,AIRSPRINT INC.,court,après-midi,International,226
103,SUNWING AIRLINES INC.,court,après-midi,International,188
104,AIR TRANSAT,moyen,soire,International,342
105,PORTER AIRLINES INC.,court,soire,Canada,919
106,REPUBLIC AIRWAYS INC,court,soire,International,484
107,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,soire,International,136
108,BANK OF UTAH TRUSTEE,court,soire,Quebec,12
109,FLAIR AIRLINE,court,soire,International,16
110,WESTJET ENCORE LTD.,court,soire,Canada,600
111,PORTER AIRLINES INC.,court,soire,International,57
112,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,soire,International,980
113,BANK OF UTAH TRUSTEE,court,soire,International,214
114,OTHERS,court,soire,Quebec,480
115,OTHERS,moyen,soire,Quebec,126
116,AIR TRANSAT,long,soire,International,609
117,SUNWING AIRLINES INC.,court,soire,International,256
118,AMERICAN AIRLINES INC,court,soire,International,322
119,JAZZ AVIATION LP,court,soire,Quebec,169
120,FLAIR AIRLINE,moyen,soire,Canada,74
121,AIR GEORGIAN LIMITED,court,nuit,Canada,11
122,PORTER AIRLINES INC.,court,nuit,Canada,18
123,OTHERS,court,nuit,Canada,844
124,REPUBLIC AIRWAYS INC,court,nuit,International,27
125,AIR CANADA,moyen,nuit,Quebec,80
126,AIR CANADA,moyen,nuit,International,631
127,SUNWING AIRLINES INC.,long,matin,Quebec,98
128,AIR GEORGIAN LIMITED,court,matin,Canada,83
129,OTHERS,long,matin,Quebec,101
130,WESTJET,long,matin,Canada,1
131,REPUBLIC AIRWAYS INC,court,matin,International,890
132,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,matin,International,84
133,OTHERS,court,matin,Quebec,1269
134,BANK OF UTAH TRUSTEE,court,matin,International,433
135,AIR CANADA,long,matin,Quebec,185
136,WESTJET ENCORE LTD.,court,matin,International,74
137,AVIATION STARLINK INC.,moyen,après-midi,International,29
138,AIR CANADA,long,après-midi,International,196
139,FLAIR AIRLINE,court,après-midi,International,59
140,WELLS FARGO TRUST CO NA TRUSTEE,court,après-midi,International,344
141,WESTJET,moyen,après-midi,Quebec,377
142,BANK OF UTAH TRUSTEE,court,après-midi,International,420
143,DELTA AIR LINES,moyen,après-midi,International,1
144,OTHERS,court,après-midi,Quebec,1455
145,FLAIR AIRLINE,court,après-midi,Canada,129
146,BANK OF UTAH TRUSTEE,court,après-midi,Quebec,57
147,AVIATION STARLINK INC.,court,soire,International,96
148,AIR TRANSAT,court,soire,Canada,399
149,FLAIR AIRLINE,court,soire,Canada,25
150,AIRSPRINT INC.,court,soire,Canada,74
151,WESTJET,moyen,soire,Quebec,48
152,AIR FRANCE,moyen,soire,International,109
153,WELLS FARGO TRUST CO NA TRUSTEE,court,soire,International,271
154,FLAIR AIRLINE,moyen,nuit,Canada,88
155,JAZZ AVIATION LP,court,nuit,Canada,508
156,AIR TRANSAT,court,nuit,International,90
157,AIR FRANCE,moyen,nuit,International,108
158,CARGOJET AIRWAYS LTD.,court,matin,Canada,69
159,AVIATION STARLINK INC.,court,matin,Canada,125
160,FLAIR AIRLINE,court,matin,Canada,213
161,CARGOJET AIRWAYS LTD.,long,matin,International,29
162,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,long,matin,International,24
163,SUNWING AIRLINES INC.,court,matin,International,259
164,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,matin,International,341
165,WESTJET ENCORE LTD.,court,après-midi,International,56
166,JAZZ AVIATION LP,court,après-midi,Quebec,519
167,JAZZ AVIATION LP,long,après-midi,International,2
168,OTHERS,moyen,après-midi,Canada,254
169,AIR GEORGIAN LIMITED,court,après-midi,Canada,48
170,AVIATION STARLINK INC.,court,après-midi,Quebec,31
171,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,soire,International,17
172,AIR GEORGIAN LIMITED,court,soire,Canada,55
173,AIR TRANSAT,court,soire,International,357
174,AIRSPRINT INC.,court,soire,International,54
175,OTHERS,court,nuit,Quebec,230
176,AMERICAN AIRLINES INC,court,nuit,International,52
177,CARGOJET AIRWAYS LTD.,court,matin,International,162
178,CARGOJET AIRWAYS LTD.,moyen,matin,International,109
179,SUNWING AIRLINES INC.,court,matin,Canada,158
180,AIRSPRINT INC.,court,matin,Canada,129
181,AIRSPRINT INC.,court,matin,International,159
182,JAZZ AVIATION LP,moyen,matin,Quebec,104
183,AVIATION STARLINK INC.,court,matin,International,199
184,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,moyen,après-midi,International,88
185,CARGOJET AIRWAYS LTD.,court,après-midi,International,114
186,AVIATION STARLINK INC.,court,après-midi,Canada,130
187,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,après-midi,Canada,129
188,JAZZ AVIATION LP,moyen,après-midi,International,42
189,AIR TRANSAT,court,après-midi,Canada,209
190,JAZZ AVIATION LP,moyen,soire,International,60
191,SUNWING AIRLINES INC.,moyen,nuit,International,68
192,AIR GEORGIAN LIMITED,court,nuit,International,54
193,SUNWING AIRLINES INC.,court,nuit,Canada,133
194,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,nuit,International,171
195,SUNWING AIRLINES INC.,long,matin,Canada,11
196,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,court,après-midi,Quebec,19
197,AMERICAN AIRLINES INC,moyen,après-midi,International,15
198,FLAIR AIRLINE,moyen,après-midi,International,56
199,AIR FRANCE,court,après-midi,International,14
200,AIR TRANSAT,long,après-midi,Quebec,32
201,OTHERS,moyen,soire,Canada,115
202,OTHERS,long,après-midi,Quebec,36
203,JAZZ AVIATION LP,moyen,après-midi,Canada,52
204,AVIATION STARLINK INC.,court,soire,Canada,70
205,FLAIR AIRLINE,court,nuit,Canada,5
206,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,soire,Canada,82
207,AIRSPRINT INC.,court,nuit,Canada,17
208,AIRSPRINT INC.,moyen,matin,Quebec,3
209,AVIATION STARLINK INC.,long,matin,International,10
210,WESTJET,court,après-midi,Canada,6
211,AIRSPRINT INC.,moyen,après-midi,International,32
212,SUNWING AIRLINES INC.,court,soire,Canada,25
213,AIRSPRINT INC.,moyen,matin,International,39
214,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,long,soire,International,6
215,BANK OF UTAH TRUSTEE,moyen,nuit,International,78
216,AIR GEORGIAN LIMITED,court,matin,Quebec,34
217,BANK OF UTAH TRUSTEE,moyen,soire,International,58
218,BANK OF UTAH TRUSTEE,court,nuit,International,118
219,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,matin,Canada,136
220,AVIATION STARLINK INC.,moyen,matin,International,16
221,AIR GEORGIAN LIMITED,court,après-midi,Quebec,33
222,BANK OF UTAH TRUSTEE,long,soire,Canada,4
223,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,court,nuit,Canada,16
224,SUNWING AIRLINES INC.,long,matin,International,8
225,AIR CANADA,long,après-midi,Quebec,45
226,JAZZ AVIATION LP,moyen,matin,International,63
