airport,freq,lon,lat,continent,country,sub,city
CSR8,2,100.82038896986565,160.6969627755512,America,Canada,Quebec,La Sarre
CDD3,21,-57.84287274026243,131.30891452575062,America,Canada,Quebec,Ste-Agnes-de-Dundee
CSP6,79,-25.28796206671681,145.66040399131933,America,Canada,Quebec,Montreal
CYSZ,1,73.86303017421794,47.13811682147704,America,Canada,Quebec,Ste-Anne-Des-Monts
CYUY,809,97.5642799827869,82.08781881356539,America,Canada,Quebec,Rouyn-Noranda
CSR3,458,9.795505570133525,33.121539121505414,America,Canada,Quebec,Victoriaville
CYHU,5614,-22.044233605204933,116.41878912318288,America,Canada,Quebec,Montreal
CYJN,644,-47.26172570497474,129.09076957883312,America,Canada,Quebec,St Jean
CSU7,17,45.60912244133062,69.87240776604479,America,Canada,Quebec,Lac-a-la-Tortue
CSY3,242,8.868362078100262,66.40639161240266,America,Canada,Quebec,Sorel
CZBM,1191,-41.73250102506045,87.60498796164016,America,Canada,Quebec,Bromont
CYGP,44,70.46190707471173,19.97359387717432,America,Canada,Quebec,Gaspe
CYCC,221,-36.01148881257216,168.93093993637268,America,Canada,Quebec,Cornwall
CYND,734,73.38350119323509,133.18136344828778,America,Canada,Quebec,Gatineau
CTR6,1440,47.87537437952191,62.933201227692045,America,Canada,Quebec,St-Basile
CSZ3,353,62.77969768848078,106.99621871046288,America,Canada,Quebec,Mont-Tremblant
CTA4,21,120.95153284473912,145.5560733435371,America,Canada,Quebec,St-Bruno-de-Guigues
CYMX,5593,7.814873169718503,134.3305596746305,America,Canada,Quebec,Montreal
CYEY,1,96.23596246093604,163.06089788946122,America,Canada,Quebec,Amos
CYLQ,10,86.1865051505528,92.5803318432699,America,Canada,Quebec,La Tuque
CSC3,597,0.9421344535752252,40.5699969396351,America,Canada,Quebec,Drummondville
CNV9,2842,52.07529880544274,57.5100981264823,America,Canada,Quebec,Neuville
CTG3,33,67.28999436466091,-12.778627814557936,America,Canada,Quebec,Du Rocher-Perce
CES2,62,-1.0902418645179686,107.95686878779512,America,Canada,Quebec,
CTA3,1,61.81499676067876,51.99042785756205,America,Canada,Quebec,Ile aux Coudres
CYGV,30,92.65188096288972,56.14811079492975,America,Canada,Quebec,Havre St-Pierre
CSN7,47,-31.32954019370481,94.04169366514338,America,Canada,Quebec,Farnham
CSS3,88,-16.288761828638847,159.3473943805037,America,Canada,Quebec,Montreal
CSG3,301,16.030252529208123,120.49277550729695,America,Canada,Quebec,Joliette
CSJ2,4,91.52911712738133,115.35080441093808,America,Canada,Quebec,Kanawata
CSP5,82,-38.12919202202467,122.31258003941784,America,Canada,Quebec,St-Mathias
CSB3,504,-6.649604491475584,71.51418751669163,America,Canada,Quebec,St-Mathieu-De-Beloeil
CSU3,292,-4.040267054523628,89.5023505833292,America,Canada,Quebec,St-Hyacinthe
CTY5,18,-55.37697040887844,114.68553531707283,America,Canada,Quebec,Rougemont
CSS4,26,-20.649610888394864,71.51418433118857,America,Canada,Quebec,St-Dominique
CSG5,11,28.22451179660717,37.57187781900623,America,Canada,Quebec,St-Jean Chrysostome
CYVB,206,60.427004764429306,-14.302045015201903,America,Canada,Quebec,Bonaventure
CYVO,3,94.60144898198132,143.0474327917533,America,Canada,Quebec,Val-d'Or
CSJ4,270,26.070349667974337,92.3579925666663,America,Canada,Quebec,Louiseville
CSK4,58,-43.7610854654417,19.28140760763883,America,Canada,Quebec,Mansonville
CLA2,82,1.6043255989564047,53.72513618950248,America,Canada,Quebec,L'Assomption
CTK6,1,80.14355882111735,1.911242772941856,America,Canada,Quebec,Kegaska
CYFJ,501,90.70917718480368,118.34745667143848,America,Canada,Quebec,Riviere Rouge
CTQ6,3,32.509115531443044,24.660780824693525,America,Canada,Quebec,St-Anselme
CSN5,7,-50.14623123126667,-0.2363597190380176,America,Canada,Quebec,Stanhope
CSJ5,207,36.08930630163359,82.08781883822486,America,Canada,Quebec,St-Louis-De-France
CYPN,33,88.23681513444073,25.231539287168275,America,Canada,Quebec,Port-Menier
CSM5,108,64.65914876865439,103.09655907805644,America,Canada,Quebec,St-Michel-Des-Saints
CYBG,1,99.35103671447024,98.96815761315348,America,Canada,Quebec,Bagotville
CYSC,580,-27.05778523594474,10.501087367832309,America,Canada,Quebec,Sherbrooke
CSZ4,60,19.67968707341837,11.906958756801144,America,Canada,Quebec,St-Frederic
CYRQ,777,41.08930628802601,92.0878188135654,America,Canada,Quebec,Trois-Rivieres
CSD3,32,-30.737010444439782,138.65043662409266,America,Canada,Quebec,Valleyfield
CTE5,56,50.24003399906745,80.0533845898602,America,Canada,Quebec,Lac a la Perchaude
CYSG,9,13.10842762231466,-5.62866350828688,America,Canada,Quebec,St Georges
CST3,214,-12.995937628804752,156.10284797245905,America,Canada,Quebec,Montreal
CAA2,48,60.72722291038447,112.88492093384916,America,Canada,Quebec,St. Andre Avellin
CSE4,632,-8.348448574664415,146.04755260565682,America,Canada,Quebec,Lachute
CSN3,113,11.21555196112779,142.52030251589042,America,Canada,Quebec,St-Jerome
CSX5,7,-28.12919202384153,132.31258003299817,America,Canada,Quebec,St-Mathias
CSY4,208,40.85876032725875,127.25634477037693,America,Canada,Quebec,St-Donat
CSL5,24,10.108427527612276,-5.628663108132372,America,Canada,Quebec,St-Victor-De-Beauce
CSE3,36,22.90294165001948,101.81390156712854,America,Canada,Quebec,Lourdes-De-Joliette
CYZV,57,103.8633746984158,89.71926096747414,America,Canada,Quebec,Sept-Iles
CSX3,4,-28.12919202538632,122.31258003249964,America,Canada,Quebec,Richelieu
CCP3,52,109.92032798213604,121.09630726387287,America,Canada,Quebec,Chute-St-Philippe
CYRI,1,82.36942221924596,37.40433636852221,America,Canada,Quebec,Riviere-du-Loup
CSM3,202,2.518153667293724,5.6265216686768,America,Canada,Quebec,Thetford Mines
CSH5,175,17.846930968590662,21.9771660143967,America,Canada,Quebec,St-Ferdinand
CSA2,442,1.0600402310035613,97.6765709059016,America,Canada,Quebec,Lac Agile
CYMW,80,113.58126376048138,132.83609308197458,America,Canada,Quebec,Maniwaki
CSK5,56,59.02732789832372,66.34982685754176,America,Canada,Quebec,St-Raymond
CST7,211,17.198096097296684,27.54187152639154,America,Canada,Quebec,St-Lambert-De-Lauzon
CYUL,99755,-18.47707893190699,110.43153403745924,America,Canada,Quebec,Montreal
CSD4,49,118.07262340896511,125.09555146901148,America,Canada,Quebec,Mont-Laurier
CSQ3,206,-34.86210166674204,28.145836490245685,America,Canada,Quebec,Valcourt
CSL3,8,40.60912244240214,72.87240776979,America,Canada,Quebec,Lac-a-la-Tortue
CYNA,3,88.8457635313356,9.620619593586804,America,Canada,Quebec,Natashquan
CYQB,1399,52.07529881952214,47.510098114957785,America,Canada,Quebec,Quebec
