airport,freq,lon,lat,continent,country,sub,city
48WI,1,92.61300163914983,216.39792091420992,America,United States of America,Wisconsin,Hazelhurst
KVJI,1,-187.7224686047712,136.57097315007496,America,United States of America,Virginia,Abingdon
SDTB,6,-79.69116744599178,-233.60391089004187,America,Brazil,São Paulo,Atibaia
KELM,1,-127.95594629015837,37.67171353749651,America,United States of America,New York,Elmira/Corning
FA51,2,-360.3834693024655,119.53013284202656,America,United States of America,Florida,La Belle
EGKB,8,100.34028575408968,-35.301860880509786,Europe,United Kingdom,England,London
KISP,14,-168.57682891356782,-103.86839090274889,America,United States of America,New York,New York
SBGL,2,-46.63680790279518,-216.1568054816537,America,Brazil,Rio de Janeiro,Rio De Janeiro
86MI,63,-66.98996250311232,194.2243407124004,America,United States of America,Michigan,Willis
41KS,1,-88.73318939945025,328.1105999865892,America,United States of America,Kansas,Spring Hill
MPHO,2,-379.1440334970169,23.41217402578304,America,Panama,Panama,Panama City
SEAS,1,-36.63680790279518,-206.1568054816537,America,Ecuador,Pichincha,Ascazubi
EDDG,1,192.2902639611297,60.27353589909137,Europe,Germany,Nordrhein-Westfalen,Munster
MMHC,1,-273.64573753467585,322.209272108045,America,Mexico,Puebla,
KHSV,3,-236.7403397518799,269.90384448003937,America,United States of America,Alabama,Huntsville
EIDW,133,72.01128456909522,-40.44181359862534,Europe,Ireland,Leinster,Dublin
II43,2,-59.52570114814998,242.32215985744745,America,United States of America,Indiana,Granger
KOWD,14,-39.88218104077631,-120.87378321877664,America,United States of America,Massachusetts,Norwood
54MI,1,-33.89663602814124,187.16524923431052,America,United States of America,Michigan,Bryon
K02C,2,13.183735496306447,223.3775411466051,America,United States of America,Wisconsin,Brookfield
KSDM,4,-35.404608292282546,414.4513852670568,America,United States of America,California,San Diego
KHYA,12,-73.32793917041698,-150.06565242018385,America,United States of America,Massachusetts,Hyannis
2NC1,111,-215.4127356320456,103.10245484422803,America,United States of America,North Carolina,Waxhaw
TVSV,1,-241.3391654069777,-137.07163679253222,America,Saint Vincent and the Grenadines,Saint-George,Kingstown
KRDG,1,-133.70985878691695,-28.584085708535216,America,United States of America,Pennsylvania,Reading
LLBG,127,208.98519127051023,-98.49908254980758,Asia,Israel,Central District,Tel Aviv
