,code,type,company
0,07-8614,L4T,OTHERS
1,130602,L4T,OTHERS
2,130604,L4T,OTHERS
3,130607,L4T,OTHERS
4,130610,L4T,OTHERS
5,130616,L4T,OTHERS
6,14+05,L2J,OTHERS
7,15+01,L2J,OTHERS
8,15001,L2J,OTHERS
9,15002,L2J,OTHERS
10,15003,L2J,OTHERS
11,15004,L2J,OTHERS
12,15005,L2J,OTHERS
13,16+01,L4J,OTHERS
14,16+02,L4J,OTHERS
15,163557,L2T,OTHERS
16,2801,L2J,OTHERS
17,4K-SW800,L4J,OTHERS
18,4K-SW888,L4J,OTHERS
19,606,L3J,OTHERS
20,7T-VJA,L2J,OTHERS
21,7T-VJC,L2J,OTHERS
22,7T-VJV,L2J,OTHERS
23,7T-VJW,L2J,OTHERS
24,7T-VJX,L2J,OTHERS
25,7T-VJY,L2J,OTHERS
26,7T-VJZ,L2J,OTHERS
27,84-0072,L2J,OTHERS
28,86-0374,L2J,OTHERS
29,99-0165,L4J,OTHERS
30,9H-FCB,L3J,OTHERS
31,9H-HFA,L2J,OTHERS
32,9H-JAI,L4J,OTHERS
33,9H-LXX,L2J,OTHERS
34,9H-SUN,L4J,OTHERS
35,9H-VIJ,L2J,OTHERS
36,9H-VJU,L2J,OTHERS
37,9H-VTD,L2J,OTHERS
38,A7-BAA,L2J,OTHERS
39,A7-BAB,L2J,OTHERS
40,A7-BAC,L2J,OTHERS
41,A7-BAE,L2J,OTHERS
42,A7-BAF,L2J,OTHERS
43,A7-BAG,L2J,OTHERS
44,A7-BAH,L2J,OTHERS
45,A7-BAI,L2J,OTHERS
46,A7-BAK,L2J,OTHERS
47,A7-BAL,L2J,OTHERS
48,A7-BAM,L2J,OTHERS
49,A7-BAO,L2J,OTHERS
50,A7-BAX,L2J,OTHERS
51,A7-BED,L2J,OTHERS
52,A7-BEE,L2J,OTHERS
53,A7-BEF,L2J,OTHERS
54,A7-BEG,L2J,OTHERS
55,A7-BEH,L2J,OTHERS
56,A7-BEI,L2J,OTHERS
57,A7-BEJ,L2J,OTHERS
58,A7-BEK,L2J,OTHERS
59,A7-BEL,L2J,OTHERS
60,A7-BEP,L2J,OTHERS
61,A7-BEQ,L2J,OTHERS
62,A7-BEU,L2J,OTHERS
63,A7-BFB,L2J,OTHERS
64,A7-BFC,L2J,OTHERS
65,A7-BFE,L2J,OTHERS
66,A7-BGA,L4J,OTHERS
67,A7-CGG,GLF6,OTHERS
68,C-FABF,L2J,OTHERS
69,C-FACV,L2T,JAZZ AVIATION LP
70,C-FAID,L2T,OTHERS
71,C-FAJC,L2J,OTHERS
72,C-FALQ,L2T,OTHERS
73,C-FANJ,L2J,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.
74,C-FASP,L2J,AIRSPRINT INC.
