,code,type,company
0,07-8614,L4T,United States Air Force
1,130602,L4T,Royal Canadian Air Force
2,130604,L4T,Royal Canadian Air Force
3,130607,L4T,Royal Canadian Air Force
4,130610,L4T,Royal Canadian Air Force
5,130616,L4T,Royal Canadian Air Force
6,14+05,L2J,German Air Force
7,15+01,L2J,German Air Force
8,15001,L2J,Royal Canadian Air Force
9,15002,L2J,Royal Canadian Air Force
10,15003,L2J,Royal Canadian Air Force
11,15004,L2J,Royal Canadian Air Force
12,15005,L2J,Royal Canadian Air Force
13,16+01,L4J,German Air Force
14,16+02,L4J,German Air Force
15,163557,L2T,United States Marine Corps
16,2801,L2J,Czech Air Force
17,4K-SW800,L4J,Silk Way West Airlines
18,4K-SW888,L4J,Silk Way West Airlines
19,606,L3J,Hungarian Air Force
20,7T-VJA,L2J,Air Algerie
21,7T-VJC,L2J,Air Algerie
22,7T-VJV,L2J,Air Algerie
23,7T-VJW,L2J,Air Algerie
24,7T-VJX,L2J,Air Algerie
25,7T-VJY,L2J,Air Algerie
26,7T-VJZ,L2J,Air Algerie
27,84-0072,L2J,United States Air Force
28,86-0374,L2J,United States Air Force
29,99-0165,L4J,United States Air Force
30,9H-FCB,L3J,Albinati Aviation Ltd
31,9H-HFA,L2J,Hi Fly Malta
32,9H-JAI,L4J,Tunisair
33,9H-LXX,L2J,Vista Jet Malta
34,9H-SUN,L4J,Corsair International
35,9H-VIJ,L2J,Vista Jet Malta
36,9H-VJU,L2J,Vista Jet Malta
37,9H-VTD,L2J,Vista Jet Malta
38,A7-BAA,L2J,Qatar Airways
39,A7-BAB,L2J,Qatar Airways
40,A7-BAC,L2J,Qatar Airways
41,A7-BAE,L2J,Qatar Airways
42,A7-BAF,L2J,Qatar Airways
43,A7-BAG,L2J,Qatar Airways
44,A7-BAH,L2J,Qatar Airways
45,A7-BAI,L2J,Qatar Airways
46,A7-BAK,L2J,Qatar Airways
47,A7-BAL,L2J,Qatar Airways
48,A7-BAM,L2J,Qatar Airways
49,A7-BAO,L2J,Qatar Airways
50,A7-BAX,L2J,Qatar Airways
51,A7-BED,L2J,Qatar Airways
52,A7-BEE,L2J,Qatar Airways
53,A7-BEF,L2J,Qatar Airways
54,A7-BEG,L2J,Qatar Airways
55,A7-BEH,L2J,Qatar Airways
56,A7-BEI,L2J,Qatar Airways
57,A7-BEJ,L2J,Qatar Airways
58,A7-BEK,L2J,Qatar Airways
59,A7-BEL,L2J,Qatar Airways
60,A7-BEP,L2J,Qatar Airways
61,A7-BEQ,L2J,Qatar Airways
62,A7-BEU,L2J,Qatar Airways
63,A7-BFB,L2J,Qatar Airways
64,A7-BFC,L2J,Qatar Airways
65,A7-BFE,L2J,Qatar Airways
66,A7-BGA,L4J,Qatar Airways
67,A7-CGG,GLF6,Qatar Executive
68,C-FABF,L2J,PAL Airlines Ltd.
69,C-FACV,L2T,Jazz Aviation Lp
70,C-FAID,L2T,Air Inuit Ltd. Air Inuit Ltee
71,C-FAJC,L2J,Morningstar Partners Ltd. (aurora Jet Partners)
72,C-FALQ,L2T,Sky Jet M.g. Inc.
73,C-FANJ,L2J,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.
74,C-FASP,L2J,Airsprint Inc.
75,C-FASR,L2J,Airsprint Inc.
76,C-FASV,L2J,Airsprint Inc.
77,C-FASW,L2J,Airsprint Inc.
78,C-FASY,L2J,Airsprint Inc.
79,C-FATP,L1P,Waterloo-wellington Flying Club
80,C-FBCL,L2J,London Air Services Limited
81,C-FBCR,L2J,I.M.P. Group Limited (Execaire)
82,C-FBDT,L1T,Flightpath Charter Airways Inc.
83,C-FBJZ,L2J,Jazz Aviation Lp
84,C-FBNS,L3J,The Bank Of Nova Scotia
85,C-FBUR,L2J,Skycharter Limited
86,C-FBWI,L2J,Westjet
87,C-FBWJ,L2J,Westjet
88,C-FBXL,L2J,Private Air Inc.
89,C-FCAE,L2J,Air Canada
90,C-FCAG,L2J,Air Canada
91,C-FCCJ,L2J,Cargojet Airways Ltd.
92,C-FCEC,L2T,The Craig Evan Corporation
93,C-FCFC,H1T,2106701 Ontario Inc (novajet)
94,C-FCJE,L2T,Central Mountain Air Ltd
