,airport,lon,lat,coutry,sub
0,,,,,
1,89NY,-75.8996733333333,44.3167172222222,US,New York
2,KEWR,-74.1686867777778,40.6924798333333,US,New Jersey
3,6IN6,-86.4766666666667,39.5488888888889,US,Indiana
4,EKCH,12.6560001373,55.6179008484,DK,Capital-Region
5,KCGS,-76.9223055555556,38.9805833333333,US,Maryland
6,CST7,-71.1825027466,46.5602989197,CA,Quebec
7,KFTY,-84.521366,33.7791263888889,US,Georgia
8,CNT6,-80.6031036377,43.5847015381,CA,Ontario
9,KGYY,-87.4145277777778,41.61725,US,Indiana
10,LEMD,-3.56676,40.4936,ES,Madrid
11,CYMW,-75.9906005859,46.2728004456,CA,Quebec
12,CTE5,-72.8482971191,46.6225013733,CA,Quebec
13,CYVB,-65.4602966309,48.0710983276,CA,Quebec
14,50OH,-83.7446722222222,39.6803527777778,US,Ohio
15,EPWA,20.9671001434,52.1656990051,PL,Mazovia
16,EGAA,-6.2158298492,54.6575012207,GB,Northern Ireland
17,SBBR,-47.9208335876,-15.8691673279,BR,Federal-District
18,EGPH,-3.3724999428,55.9500007629,GB,Scotland
19,KRZT,-83.0230555555556,39.4404166666667,US,Ohio
20,CMW3,-77.0955276489,45.1643383253,CA,Ontario
21,88WI,-87.8606530555555,44.5083269444444,US,Wisconsin
22,CYBG,-70.9963989258,48.3306007385,CA,Quebec
23,KFCI,-77.5248333333333,37.4064444444444,US,Virginia
24,KBFI,-122.301944444444,47.5299722222222,US,Washington
25,KU42,-111.992889166667,40.6195466666667,US,Utah
26,CCG4,-64.7686004639,46.1539001465,CA,New Brunswick
27,KPHF,-76.4929722222222,37.1318888888889,US,Virginia
28,KHTO,,,,
29,VG20,-75.7099288888889,37.6751311111111,US,Virginia
30,MT54,-114.244294722222,48.2438505555556,US,Montana
31,MI29,-83.79272,42.3764247222222,US,Michigan
32,KRIC,-77.3197386111111,37.5051811111111,US,Virginia
33,90NY,-77.2427777777778,42.9195083333333,US,New York
34,VA12,-79.7969805555555,36.6468041666667,US,Virginia
35,MA55,-70.2994644444444,41.3348436111111,US,Massachusetts
36,KAGC,-79.9290466666667,40.3544376388889,US,Pennsylvania
37,CTG3,-64.5643997192,48.3833007813,CA,Quebec
38,FD83,-81.3839594444445,28.2586233333333,US,Florida
39,EHRD,4.4372200966,51.9569015503,NL,South Holland
40,47MI,,,,
41,6NY2,,,,
42,2NC1,-80.8016416666667,34.9974388888889,US,North Carolina
43,KTOI,-86.0138888888889,31.86,US,Alabama
