,airline,duration,departureTime,flightRange,count
0,JAZZ AVIATION LP,Court,Matin,Quebec,295
1,AIR CANADA,Moyen,Après-midi,Canada,1039
2,AUTRES,Long,Soir,International,909
3,AUTRES,Court,Soir,International,6346
4,SUNWING AIRLINES INC.,Moyen,Soir,International,204
5,CARGOJET AIRWAYS LTD.,Court,Soir,International,127
6,AUTRES,Moyen,Soir,International,659
7,AIR CANADA,Moyen,Soir,Quebec,463
8,AIR CANADA,Moyen,Soir,International,1815
9,JAZZ AVIATION LP,Court,Soir,International,1706
10,JAZZ AVIATION LP,Court,Soir,Canada,1414
11,AIR CANADA,Court,Soir,Canada,1779
12,DELTA AIR LINES,Court,Soir,International,478
13,AUTRES,Court,Soir,Canada,1171
14,AIR GEORGIAN LIMITED,Court,Soir,International,254
15,AIR CANADA,Moyen,Soir,Canada,544
16,AIR FRANCE,Long,Soir,International,169
17,JAZZ AVIATION LP,Court,Nuit,Quebec,141
18,WELLS FARGO TRUST CO NA TRUSTEE,Court,Nuit,International,28
19,AIR TRANSAT,Long,Nuit,International,1201
20,JAZZ AVIATION LP,Court,Nuit,International,1014
21,DELTA AIR LINES,Court,Nuit,International,89
22,AUTRES,Moyen,Nuit,Canada,59
23,AUTRES,Moyen,Nuit,International,769
24,SUNWING AIRLINES INC.,Court,Nuit,International,89
25,CARGOJET AIRWAYS LTD.,Court,Nuit,Canada,591
26,AUTRES,Long,Nuit,International,1853
27,AIR CANADA,Long,Nuit,International,1531
28,AIR TRANSAT,Moyen,Nuit,International,209
29,WESTJET ENCORE LTD.,Court,Nuit,International,19
30,AIR CANADA,Court,Nuit,Canada,756
31,AUTRES,Court,Nuit,International,2510
32,AIR CANADA,Court,Nuit,International,648
33,CARGOJET AIRWAYS LTD.,Court,Nuit,International,317
34,AIR FRANCE,Long,Nuit,International,211
35,WESTJET,Court,Nuit,Canada,171
36,AUTRES,Moyen,Nuit,Quebec,28
37,SKY REGIONAL AIRLINES INC.,Court,Nuit,Canada,279
38,AIR CANADA,Moyen,Nuit,Canada,267
39,AUTRES,Long,Matin,International,1651
40,AIR CANADA,Court,Soir,International,1712
41,JAZZ AVIATION LP,Court,Matin,International,3044
42,AIR GEORGIAN LIMITED,Court,Matin,International,467
43,AIR TRANSAT,Long,Matin,International,1075
44,SKY REGIONAL AIRLINES INC.,Court,Matin,International,2080
45,AIR CANADA,Court,Matin,Canada,2695
46,AUTRES,Moyen,Matin,International,1692
47,PORTER AIRLINES INC.,Court,Matin,Canada,1350
48,AUTRES,Court,Matin,International,13625
49,AIR TRANSAT,Court,Matin,International,269
50,AIR CANADA,Long,Matin,International,1763
51,DELTA AIR LINES,Court,Matin,International,931
52,AIR CANADA,Court,Matin,International,2445
53,SKY REGIONAL AIRLINES INC.,Court,Matin,Canada,108
54,AUTRES,Court,Matin,Canada,2231
55,AIR TRANSAT,Long,Matin,Quebec,187
56,WELLS FARGO TRUST CO NA TRUSTEE,Court,Matin,International,424
57,WESTJET,Court,Matin,Canada,169
58,SUNWING AIRLINES INC.,Moyen,Matin,International,445
59,AIR FRANCE,Long,Matin,International,345
60,AIR CANADA,Moyen,Matin,International,2531
61,PORTER AIRLINES INC.,Court,Matin,International,119
62,AIR TRANSAT,Moyen,Matin,International,627
63,AUTRES,Moyen,Matin,Quebec,296
64,AIR GEORGIAN LIMITED,Moyen,Matin,Quebec,10
65,AIR CANADA,Moyen,Matin,Canada,536
66,JAZZ AVIATION LP,Court,Matin,Canada,1984
67,WESTJET ENCORE LTD.,Court,Matin,Canada,751
68,AIR CANADA,Moyen,Matin,Quebec,630
69,BANK OF UTAH TRUSTEE,Moyen,Matin,International,91
70,AMERICAN AIRLINES INC,Court,Matin,International,962
71,SKY REGIONAL AIRLINES INC.,Court,Après-midi,International,2233
72,JAZZ AVIATION LP,Court,Après-midi,International,4222
73,AIR TRANSAT,Moyen,Après-midi,International,673
74,AUTRES,Court,Après-midi,International,14708
75,AIR CANADA,Moyen,Après-midi,International,2303
76,AIRSPRINT INC.,Court,Après-midi,Canada,184
77,SUNWING AIRLINES INC.,Moyen,Après-midi,International,483
78,AIR CANADA,Court,Après-midi,International,2808
79,SKYSERVICE BUSINESS AVIATION INC.,Court,Après-midi,International,380
80,WESTJET ENCORE LTD.,Court,Après-midi,Canada,791
81,AUTRES,Moyen,Après-midi,International,1642
82,SKY REGIONAL AIRLINES INC.,Court,Après-midi,Canada,28
83,AUTRES,Long,Après-midi,International,985
84,AVIATION STARLINK INC.,Court,Après-midi,International,220
85,AIR CANADA,Court,Après-midi,Canada,2694
86,AIR CANADA,Long,Soir,International,1727
87,AIR FRANCE,Long,Après-midi,International,308
88,PORTER AIRLINES INC.,Court,Après-midi,International,130
89,AUTRES,Court,Après-midi,Canada,2264
90,REPUBLIC AIRWAYS INC,Court,Après-midi,International,573
91,AMERICAN AIRLINES INC,Court,Après-midi,International,1021
92,AIR FRANCE,Moyen,Après-midi,International,51
93,JAZZ AVIATION LP,Moyen,Après-midi,Quebec,125
94,DELTA AIR LINES,Court,Après-midi,International,715
95,AIR GEORGIAN LIMITED,Court,Après-midi,International,548
96,AUTRES,Moyen,Après-midi,Quebec,255
97,JAZZ AVIATION LP,Court,Après-midi,Canada,1750
98,PORTER AIRLINES INC.,Court,Après-midi,Canada,1375
99,FLAIR AIRLINE,Moyen,Après-midi,Canada,164
100,AIR TRANSAT,Court,Après-midi,International,491
101,AIR CANADA,Moyen,Après-midi,Quebec,590
102,AIRSPRINT INC.,Court,Après-midi,International,226
103,SUNWING AIRLINES INC.,Court,Après-midi,International,188
104,AIR TRANSAT,Moyen,Soir,International,342
105,PORTER AIRLINES INC.,Court,Soir,Canada,919
106,REPUBLIC AIRWAYS INC,Court,Soir,International,484
107,SKYSERVICE BUSINESS AVIATION INC.,Court,Soir,International,136
108,BANK OF UTAH TRUSTEE,Court,Soir,Quebec,12
109,FLAIR AIRLINE,Court,Soir,International,16
110,WESTJET ENCORE LTD.,Court,Soir,Canada,600
111,PORTER AIRLINES INC.,Court,Soir,International,57
112,SKY REGIONAL AIRLINES INC.,Court,Soir,International,980
113,BANK OF UTAH TRUSTEE,Court,Soir,International,214
114,AUTRES,Court,Soir,Quebec,480
115,AUTRES,Moyen,Soir,Quebec,126
116,AIR TRANSAT,Long,Soir,International,609
117,SUNWING AIRLINES INC.,Court,Soir,International,256
118,AMERICAN AIRLINES INC,Court,Soir,International,322
119,JAZZ AVIATION LP,Court,Soir,Quebec,169
120,FLAIR AIRLINE,Moyen,Soir,Canada,74
121,AIR GEORGIAN LIMITED,Court,Nuit,Canada,11
122,PORTER AIRLINES INC.,Court,Nuit,Canada,18
123,AUTRES,Court,Nuit,Canada,844
124,REPUBLIC AIRWAYS INC,Court,Nuit,International,27
125,AIR CANADA,Moyen,Nuit,Quebec,80
126,AIR CANADA,Moyen,Nuit,International,631
127,SUNWING AIRLINES INC.,Long,Matin,Quebec,98
128,AIR GEORGIAN LIMITED,Court,Matin,Canada,83
129,AUTRES,Long,Matin,Quebec,101
130,WESTJET,Long,Matin,Canada,1
131,REPUBLIC AIRWAYS INC,Court,Matin,International,890
132,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Matin,International,84
133,AUTRES,Court,Matin,Quebec,1269
134,BANK OF UTAH TRUSTEE,Court,Matin,International,433
135,AIR CANADA,Long,Matin,Quebec,185
136,WESTJET ENCORE LTD.,Court,Matin,International,74
137,AVIATION STARLINK INC.,Moyen,Après-midi,International,29
138,AIR CANADA,Long,Après-midi,International,196
139,FLAIR AIRLINE,Court,Après-midi,International,59
140,WELLS FARGO TRUST CO NA TRUSTEE,Court,Après-midi,International,344
141,WESTJET,Moyen,Après-midi,Quebec,377
142,BANK OF UTAH TRUSTEE,Court,Après-midi,International,420
143,DELTA AIR LINES,Moyen,Après-midi,International,1
144,AUTRES,Court,Après-midi,Quebec,1455
145,FLAIR AIRLINE,Court,Après-midi,Canada,129
146,BANK OF UTAH TRUSTEE,Court,Après-midi,Quebec,57
147,AVIATION STARLINK INC.,Court,Soir,International,96
148,AIR TRANSAT,Court,Soir,Canada,399
149,FLAIR AIRLINE,Court,Soir,Canada,25
150,AIRSPRINT INC.,Court,Soir,Canada,74
151,WESTJET,Moyen,Soir,Quebec,48
152,AIR FRANCE,Moyen,Soir,International,109
153,WELLS FARGO TRUST CO NA TRUSTEE,Court,Soir,International,271
154,FLAIR AIRLINE,Moyen,Nuit,Canada,88
155,JAZZ AVIATION LP,Court,Nuit,Canada,508
156,AIR TRANSAT,Court,Nuit,International,90
157,AIR FRANCE,Moyen,Nuit,International,108
158,CARGOJET AIRWAYS LTD.,Court,Matin,Canada,69
159,AVIATION STARLINK INC.,Court,Matin,Canada,125
160,FLAIR AIRLINE,Court,Matin,Canada,213
161,CARGOJET AIRWAYS LTD.,Long,Matin,International,29
162,SKYSERVICE BUSINESS AVIATION INC.,Long,Matin,International,24
163,SUNWING AIRLINES INC.,Court,Matin,International,259
164,SKYSERVICE BUSINESS AVIATION INC.,Court,Matin,International,341
165,WESTJET ENCORE LTD.,Court,Après-midi,International,56
166,JAZZ AVIATION LP,Court,Après-midi,Quebec,519
167,JAZZ AVIATION LP,Long,Après-midi,International,2
168,AUTRES,Moyen,Après-midi,Canada,254
169,AIR GEORGIAN LIMITED,Court,Après-midi,Canada,48
170,AVIATION STARLINK INC.,Court,Après-midi,Quebec,31
171,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Soir,International,17
172,AIR GEORGIAN LIMITED,Court,Soir,Canada,55
173,AIR TRANSAT,Court,Soir,International,357
174,AIRSPRINT INC.,Court,Soir,International,54
175,AUTRES,Court,Nuit,Quebec,230
176,AMERICAN AIRLINES INC,Court,Nuit,International,52
177,CARGOJET AIRWAYS LTD.,Court,Matin,International,162
178,CARGOJET AIRWAYS LTD.,Moyen,Matin,International,109
179,SUNWING AIRLINES INC.,Court,Matin,Canada,158
180,AIRSPRINT INC.,Court,Matin,Canada,129
181,AIRSPRINT INC.,Court,Matin,International,159
182,JAZZ AVIATION LP,Moyen,Matin,Quebec,104
183,AVIATION STARLINK INC.,Court,Matin,International,199
184,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Après-midi,International,88
185,CARGOJET AIRWAYS LTD.,Court,Après-midi,International,114
186,AVIATION STARLINK INC.,Court,Après-midi,Canada,130
187,SKYSERVICE BUSINESS AVIATION INC.,Court,Après-midi,Canada,129
188,JAZZ AVIATION LP,Moyen,Après-midi,International,42
189,AIR TRANSAT,Court,Après-midi,Canada,209
190,JAZZ AVIATION LP,Moyen,Soir,International,60
191,SUNWING AIRLINES INC.,Moyen,Nuit,International,68
192,AIR GEORGIAN LIMITED,Court,Nuit,International,54
193,SUNWING AIRLINES INC.,Court,Nuit,Canada,133
194,SKY REGIONAL AIRLINES INC.,Court,Nuit,International,171
195,SUNWING AIRLINES INC.,Long,Matin,Canada,11
196,SKY REGIONAL AIRLINES INC.,Court,Après-midi,Quebec,19
197,AMERICAN AIRLINES INC,Moyen,Après-midi,International,15
198,FLAIR AIRLINE,Moyen,Après-midi,International,56
199,AIR FRANCE,Court,Après-midi,International,14
200,AIR TRANSAT,Long,Après-midi,Quebec,32
201,AUTRES,Moyen,Soir,Canada,115
202,AUTRES,Long,Après-midi,Quebec,36
203,JAZZ AVIATION LP,Moyen,Après-midi,Canada,52
204,AVIATION STARLINK INC.,Court,Soir,Canada,70
205,FLAIR AIRLINE,Court,Nuit,Canada,5
206,SKYSERVICE BUSINESS AVIATION INC.,Court,Soir,Canada,82
207,AIRSPRINT INC.,Court,Nuit,Canada,17
208,AIRSPRINT INC.,Moyen,Matin,Quebec,3
209,AVIATION STARLINK INC.,Long,Matin,International,10
210,WESTJET,Court,Après-midi,Canada,6
211,AIRSPRINT INC.,Moyen,Après-midi,International,32
212,SUNWING AIRLINES INC.,Court,Soir,Canada,25
213,AIRSPRINT INC.,Moyen,Matin,International,39
214,SKYSERVICE BUSINESS AVIATION INC.,Long,Soir,International,6
215,BANK OF UTAH TRUSTEE,Moyen,Nuit,International,78
216,AIR GEORGIAN LIMITED,Court,Matin,Quebec,34
217,BANK OF UTAH TRUSTEE,Moyen,Soir,International,58
218,BANK OF UTAH TRUSTEE,Court,Nuit,International,118
219,SKYSERVICE BUSINESS AVIATION INC.,Court,Matin,Canada,136
220,AVIATION STARLINK INC.,Moyen,Matin,International,16
221,AIR GEORGIAN LIMITED,Court,Après-midi,Quebec,33
222,BANK OF UTAH TRUSTEE,Long,Soir,Canada,4
223,SKYSERVICE BUSINESS AVIATION INC.,Court,Nuit,Canada,16
224,SUNWING AIRLINES INC.,Long,Matin,International,8
225,AIR CANADA,Long,Après-midi,Quebec,45
226,JAZZ AVIATION LP,Moyen,Matin,International,63
227,AIR CANADA,Court,Après-midi,Quebec,481
