source,target,count
,short,39809
AIR CANADA,long,5414
KLM,long,281
FEDEX,short,1168
SUNWING,medium,722
CARGOJET,short,1572
AIR CANADA,short,15081
NULL,short,5607
,medium,5600
AIR CANADA,medium,10047
JAZZ,short,15489
DELTA,short,2893
LUFTHANSA,long,526
AIRFRANS,long,980
SKYWEST,short,742
TRANSAT,long,1119
QATARI,long,447
NULL,medium,1719
TURKAIR,long,66
AIR PORTUGAL,long,213
Encore,short,2492
UPS,short,470
WESTJET,short,455
KALITTA,short,109
Maple,short,4880
AUSTRIAN,long,277
TUNAIR,long,147
BOMBARDIER,medium,192
PORTER AIR,short,4573
AIR TRANSAT,short,1046
SWISS,long,370
AIR ALGERIE,long,317
AMERICAN,short,1562
FLAIR,short,442
,long,1650
AIR WISCONSIN,short,708
BRICKYARD,short,1154
AIR TRANSAT,medium,1089
NULL,long,728
AIR INUIT,short,1965
Envoy,short,1508
AIR BRAVO,short,429
ROUGE,medium,371
ACEY,short,348
FLAIR,medium,439
SPEEDBIRD,long,192
BOMBARDIER,short,284
UNITED,short,1051
JAZZ,medium,422
ROUGE,short,741
SUNWING,short,674
PASCAN,short,445
AIR TRANSAT,long,1261
SPEEDBIRD,medium,126
COPA,short,95
AEROMEXICO,medium,358
SUNWING,long,100
WESTJET,long,1
HELI CZECH,short,5
TRANSAT,medium,385
BOMBARDIER,long,24
COPA,long,41
HELI CZECH,medium,3
WESTJET,medium,615
DELTA,medium,2
EMPRESS,short,616
AIR SHUTTLE,short,80
TRANSAT,short,283
AIRSPRINT,short,677
AIRFRANS,medium,236
KLM,medium,42
EXECJET,short,515
AIR PORTUGAL,medium,45
JORDANIAN,long,169
CARGOJET,long,36
OZWEST,short,135
GATEWAY,short,379
JAZZ,long,4
FLIGHTCRAFT,short,119
SKYTRAVEL,short,68
CARGOJET,medium,132
SWISSAIR,long,50
AIR INUIT,medium,21
ALLEGIANT,medium,12
SAINT-PIERRE,short,85
AIR BRAVO,medium,59
FLIGHTCRAFT,medium,90
ARKEFLY,medium,115
MORNINGSTAR,short,433
PASCAN,medium,48
COPA,medium,175
AMERICAN,medium,537
ARKEFLY,short,101
BUFFALO AIR,short,1
SAINT-PIERRE,medium,11
IRAQI,long,2
AIR CANADA ,short,180
PRIORITY AIR,short,8
EXECJET,medium,45
EAGLE FLIGHT,short,228
TOMSON,short,94
AIRSPRINT,medium,46
TOMSON,long,11
ROYALAIR MAROC,long,409
FLIGHTCRAFT,long,2
ANTONOV BUREAU,long,4
TOMSON,medium,73
JORDANIAN,short,171
Air System,short,56
EIFEL,short,2
ROUGE,long,18
PROPAIR,short,75
SKYTRAVEL,medium,69
CHARTRIGHT,short,212
Stingray,short,8
BERRY,short,50
ALLEGIANT,short,13
AEROMEXICO,short,4
AIRFRANS,short,14
AEROMEXICO,long,31
VOLGA-DNEPR,long,2
AIRSPRINT,long,1
SHAMROCK,long,1
SPEEDBIRD,short,6
KLM,short,3
PRIORITY AIR,medium,2
LINDBERGH,short,10
SHAMROCK,medium,1
UKRAINE ALLIANCE,medium,4
BOREK AIR,short,7
CHARTRIGHT,medium,14
ROYALAIR MAROC,medium,43
AIR BRAVO,long,2
ARKEFLY,long,19
KALITTA,medium,1
TURKISH,long,170
FRENCH AIR FORCE,medium,1
AIR PORTUGAL,short,1
CONNIE,short,111
SYNCRUDE,short,32
UNITED EUROPEAN,short,2
BERRY,medium,4
PORTER AIR,medium,4
EUROCAT,short,1
GIANT,short,21
EUROCAT,medium,1
Air System,medium,6
Stingray,medium,2
VISTA,long,4
ROYALAIR MAROC,short,19
AIRBALTIC,long,2
AERONAVES TSM,short,4
SNOWCAP,long,1
SUN COUNTRY,short,46
CASTLE,short,17
