,airportIn,airportOut,company,number
0,CYUL,CYYZ,AIR CANADA,3162
1,CYYZ,CYUL,AIR CANADA,3147
2,CYTZ,CYUL,PORTER AIRLINES INC.,1783
3,CYUL,CYTZ,PORTER AIRLINES INC.,1758
4,CYUL,CYOW,JAZZ AVIATION LP,1302
5,CYOW,CYUL,JAZZ AVIATION LP,1289
6,CYTZ,CYUL,JAZZ AVIATION LP,1161
7,CYUL,CYTZ,JAZZ AVIATION LP,1156
8,CYUL,CYUL,OTHERS,1148
9,CYYZ,CYUL,WESTJET ENCORE LTD.,1105
10,CYUL,CYYZ,WESTJET ENCORE LTD.,1097
11,CYVR,CYUL,AIR CANADA,1083
12,CYUL,CYVR,AIR CANADA,1063
13,CYYZ,CYUL,OTHERS,1018
14,CYUL,CYYZ,OTHERS,1017
15,CYUL,CNV9,OTHERS,949
16,CYUL,CYYC,AIR CANADA,793
17,CYYC,CYUL,AIR CANADA,791
23,CYHZ,CYUL,AIR CANADA,573
31,CYUL,CYWG,AIR CANADA,420
34,CYWG,CYUL,AIR CANADA,409
35,CYUL,CYHZ,AIR CANADA,396
46,CYHZ,CYUL,PORTER AIRLINES INC.,328
47,CYYZ,CYUL,AIR TRANSAT,324
48,CYUL,CYYZ,AIR TRANSAT,321
50,CYUL,CNV9,JAZZ AVIATION LP,307
52,CYUL,CYUL,AIR CANADA,288
53,CYYC,CYUL,WESTJET,286
56,CYUL,CYYC,WESTJET,280
57,CYHM,CYMX,CARGOJET AIRWAYS LTD.,279
58,CYYZ,CYQB,AIR CANADA,275
60,CYUL,CYHZ,PORTER AIRLINES INC.,272
61,CYMX,CYYZ,OTHERS,272
62,CYUL,CYUL,JAZZ AVIATION LP,264
64,CYUY,CYUL,OTHERS,248
65,CYUL,CYQB,OTHERS,246
66,CYUL,CTR6,OTHERS,245
69,CYUL,CYUL,AIR TRANSAT,234
71,CYUL,CYQB,AIR CANADA,230
73,CYYZ,CTR6,AIR CANADA,228
81,CYYZ,CYMX,OTHERS,196
82,CYVR,CYUL,OTHERS,196
83,CYYC,CYUL,OTHERS,196
84,CYUL,CYYZ,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,194
85,CYUY,CYUL,JAZZ AVIATION LP,193
86,CYYZ,CYHU,OTHERS,190
87,CYOW,CYUL,AIR CANADA,189
88,CYUL,CYOW,OTHERS,189
89,CYYZ,CYUL,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,188
90,CYUL,CYVR,OTHERS,188
93,CYUL,CYOW,AIR CANADA,183
94,CYMX,CYOW,OTHERS,182
96,CYHZ,CYUL,OTHERS,181
97,CYHU,CYYZ,OTHERS,180
98,CYUL,CYYZ,WESTJET,179
99,CYYZ,CYUL,WESTJET,178
101,CYUL,CYHU,OTHERS,175
104,CYUL,CYYC,OTHERS,174
106,CYOW,CYMX,OTHERS,168
107,CYOW,CYUL,OTHERS,168
110,CYHU,CST7,OTHERS,165
