,airportIn,airportOut,company,number
0,CYUL,CYYZ,Air Canada,3141
1,CYYZ,CYUL,Air Canada,3128
2,CYTZ,CYUL,Porter Airlines Inc.,1783
3,CYUL,CYTZ,Porter Airlines Inc.,1758
4,CYUL,CYOW,Jazz Aviation Lp,1302
5,CYOW,CYUL,Jazz Aviation Lp,1289
6,CYTZ,CYUL,Jazz Aviation Lp,1161
7,CYUL,CYTZ,Jazz Aviation Lp,1156
8,CYUL,CYYZ,Others,1148
9,CYYZ,CYUL,Others,1146
10,CYUL,CYUL,Others,1148
11,CYYZ,CYUL,Westjet Encore Ltd.,1105
12,CYUL,CYYZ,Westjet Encore Ltd.,1097
13,CYVR,CYUL,Air Canada,1083
14,CYUL,CYVR,Air Canada,1063
15,CYUL,CNV9,Others,953
16,CYUL,CYYC,Air Canada,790
17,CYYC,CYUL,Air Canada,788
18,CYUL,KEWR,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.,1303
19,CYUL,KLGA,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.,1285
20,CYUL,LFPG,Air France,1264
21,CYUL,KPHL,American Airlines Inc,1238
22,CYUL,KLGA,Republic Airways Inc,1181
23,CYHZ,CYUL,Air Canada,571
24,CYUL,KIAD,Others,1110
25,CYUL,KBOS,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.,974
26,CYUL,KDTW,Delta Air Lines,907
27,CYUL,KLAX,Air Canada,848
28,CYUL,KEWR,Others,851
29,CYUL,KTEB,Others,833
30,CYUL,KSFO,Air Canada,852
31,CYUL,CYWG,Air Canada,417
32,CYUL,KORD,Others,823
33,CYUL,KMCO,Air Canada Rouge Lp,796
34,CYWG,CYUL,Air Canada,406
35,CYUL,LFPG,Air Canada,783
36,CYUL,CYHZ,Air Canada,394
37,CYUL,KORD,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.,770
38,CYUL,LFPG,Air Transat A T Inc.,740
39,CYUL,KORD,American Airlines Inc,707
40,CYUL,KORD,Jazz Aviation Lp,696
41,CYUL,KATL,Wells Fargo Trust Co Na Trustee,697
42,CYUL,EGLL,Air Canada,685
43,CYUL,KLGA,Delta Air Lines,668
44,CYHZ,CYUL,Porter Airlines Inc.,328
45,CYYZ,CYUL,Air Transat A T Inc.,324
46,CYUL,CYYZ,Air Transat A T Inc.,321
47,CYUL,GMMN,Others,601
48,CYUL,CNV9,Jazz Aviation Lp,307
49,CYUL,KFLL,Air Canada,562
50,CYUL,KDCA,Jazz Aviation Lp,578
51,CYYC,CYUL,Westjet,286
52,CYUL,KEWR,Republic Airways Inc,553
53,CYUL,EDDF,Air Canada,543
54,CYUL,CYYC,Westjet,280
55,CYHM,CYMX,Cargojet Airways Ltd.,279
56,CYUL,OTHH,Others,549
57,CYMX,CYYZ,Others,273
58,CYUL,CYHZ,Porter Airlines Inc.,272
59,CYUL,CYUL,Jazz Aviation Lp,264
60,CYYZ,CYQB,Air Canada Rouge Lp,264
61,CYUL,KLGA,Air Canada,510
62,CYUY,CYUL,Others,249
63,CYUL,CYQB,Others,247
64,CYUL,KFLL,Air Canada Rouge Lp,471
65,CYUL,CTR6,Others,245
