,airportIn,airportOut,company,number
31,CYUL,CYUL,OTHERS,344
38,CYUL,CNV9,JAZZ,306
50,CYUL,CYUL,JAZZ,256
58,CYUL,CYUL,AIR CANADA,230
69,CYUY,CYUL,JAZZ,193
75,CYUL,CNV9,OTHERS,180
83,CYUL,CYUL,AIR TRANSAT,170
120,CYUL,CTR6,JAZZ,101
131,CYUL,CYQB,JAZZ,95
137,CYUL,CYUY,JAZZ,92
156,CYUL,CYUL,SUNWING,76
160,CYUL,CYQB,OTHERS,73
197,CYUL,CTR6,OTHERS,52
235,CYUL,CNV9,AIR CANADA,37
252,CYUL,CSK5,JAZZ,31
253,CYUL,CTR6,AIR CANADA,31
255,CYUL,CNV9,AIR TRANSAT,31
257,CYHU,CST7,OTHERS,30
263,CYVB,CYHU,OTHERS,30
276,CYUL,CYQB,AIR CANADA,27
298,CYUL,CYHU,OTHERS,23
302,CYHU,CYVB,OTHERS,22
305,CYUL,CTR6,AIR TRANSAT,21
310,CYUL,CYUL,ROUGE,20
321,CYUL,CTR6,SUNWING,18
327,CNV9,CYUL,JAZZ,17
332,CYUL,CYUL,MAPLE,16
335,CYUY,CYUL,OTHERS,15
350,CYUL,CNV9,SUNWING,14
358,CYHU,CYUL,OTHERS,14
364,CYUY,CYUL,AIR CANADA,13
378,CYMX,CYUL,AIR CANADA,12
385,CYUL,CYQB,AIR TRANSAT,12
397,CYUL,CYMX,OTHERS,10
411,CYUL,CTR6,ROUGE,9
420,CNV9,CYUL,OTHERS,9
429,CYMX,CYUL,OTHERS,8
434,CYHU,CSZ4,OTHERS,8
439,CYUL,CYGP,OTHERS,8
448,CYZV,CYUL,JAZZ,7
454,CYPN,CYUL,OTHERS,7
457,CYHU,CNV9,OTHERS,7
461,CYUL,CST7,JAZZ,7
474,CYRQ,CYUL,OTHERS,6
477,CYUL,CYHU,AIRSPRINT,6
480,CYHU,CSH5,OTHERS,6
483,CYHU,CYGP,OTHERS,6
486,CYUL,CYUY,AIR CANADA,6
497,CYUL,CYMX,AIR CANADA,5
500,CYZV,CYUL,OTHERS,5
503,CYUL,CYPN,OTHERS,5
519,CYUL,CYUY,OTHERS,5
530,CYVB,CTG3,OTHERS,5
543,CYUL,CSK5,OTHERS,4
545,CYUL,CST7,OTHERS,4
579,CYUL,CNV9,AIRSPRINT,4
584,CYUL,CNV9,ROUGE,4
586,CYUL,CYUL,PORTER AIR,4
589,CYQB,CYUL,OTHERS,4
592,CYQB,CYUL,JAZZ,4
593,CNV9,CYUL,AIR TRANSAT,4
595,CNV9,CYUL,AIR CANADA,4
598,CYQB,CYUL,AIR CANADA,4
606,CYRQ,CSJ4,AIR CANADA,3
668,CYUL,CYQB,SUNWING,3
684,CYHU,CSM3,AIR CANADA,3
708,CYUL,CYVO,JAZZ,2
736,CYUL,CSG5,OTHERS,2
767,CYHU,CYQB,OTHERS,2
771,CYQB,CYHU,OTHERS,2
779,CYUL,CSJ5,OTHERS,2
788,CNV9,CYHU,OTHERS,2
814,CYUL,CYUL,SKYWEST,2
819,CSA2,CYMX,CARGOJET,2
827,CYHU,CSM3,OTHERS,2
850,CYVB,CYUL,OTHERS,2
857,CYQB,CYUL,ROUGE,2
864,CYUL,CZBM,AIRSPRINT,2
885,CYUL,CYZV,JAZZ,2
894,CYUL,CYRQ,OTHERS,2
897,CYUL,CYUL,AIR FRANCE,2
906,CYSC,CYUL,AIRSPRINT,2
913,CYRQ,CYUL,AIR CANADA,2
1164,CYZV,CYHU,OTHERS,1
1183,CYUL,CYHU,AIR TRANSAT,1
1190,CYUL,CYFJ,OTHERS,1
1192,CYUL,CYHU,AIR CANADA,1
1197,CYUL,CYBG,JAZZ,1
1201,CYUL,CYGP,AIRSPRINT,1
1202,CYVB,CYGP,OTHERS,1
